State,City,order_date,Restaurant Name,Location,Category,Dish Name,Price (INR),Rating,Rating Count
Karnataka,Bengaluru,29-06-2025,Anand Sweets & Savouries,Rajarajeshwari Nagar,Snack,Butter Murukku-200gm,133.9,0,0
Karnataka,Bengaluru,03-04-2025,Srinidhi Sagar Deluxe,Kengeri,Recommended,Badam Milk,52,4.5,25
Karnataka,Bengaluru,15-01-2025,Srinidhi Sagar Deluxe,Kengeri,Recommended,Chow Chow Bath,117,4.7,48
Karnataka,Bengaluru,17-04-2025,Srinidhi Sagar Deluxe,Kengeri,Recommended,Kesari Bath,65,4.6,65
Karnataka,Bengaluru,13-03-2025,Srinidhi Sagar Deluxe,Kengeri,Recommended,Mix Raitha,130,0,0
Karnataka,Bengaluru,08-07-2025,Srinidhi Sagar Deluxe,Kengeri,Recommended,Srinidhi Sagar Special,312,0,0
Karnataka,Bengaluru,21-01-2025,Srinidhi Sagar Deluxe,Kengeri,Recommended,Garlic Naan,98,4,34
Karnataka,Bengaluru,13-04-2025,Srinidhi Sagar Deluxe,Kengeri,Recommended,Pista,137,0,0
Karnataka,Bengaluru,02-05-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Panneer Butter Masala,241,4.4,29
Karnataka,Bengaluru,30-07-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Dal Tadka,195,4.9,51
Karnataka,Bengaluru,03-08-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Kaju Masla,312,0,0
Karnataka,Bengaluru,16-03-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Palak Panner,234,0,0
Karnataka,Bengaluru,22-07-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Panneer Kofta,286,0,0
Karnataka,Bengaluru,29-03-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Panneer Burji,312,0,0
Karnataka,Bengaluru,27-04-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Panneer Shahi Kurma,286,4.8,4
Karnataka,Bengaluru,10-04-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Malai Kofta,260,4.5,26
Karnataka,Bengaluru,14-04-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Navarathna Kurma (Sweet Dish),299,0,0
Karnataka,Bengaluru,01-06-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Mushroom Masala,247,4.2,24
Karnataka,Bengaluru,11-05-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Veg Kofta,260,3.7,16
Karnataka,Bengaluru,30-05-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Dum Aloo Kashmiri (Sweet Dish),286,0,0
Karnataka,Bengaluru,22-02-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Panneer Guchi,260,0,0
Karnataka,Bengaluru,02-01-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Stuffed Capsicum,260,0,0
Karnataka,Bengaluru,24-08-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Stuffed Tomato,260,0,0
Karnataka,Bengaluru,07-06-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Veg Do Pyaza,260,4.2,9
Karnataka,Bengaluru,07-02-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Veg Shahi Kuma,260,0,0
Karnataka,Bengaluru,10-05-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Mix Veg Curry,234,3.8,20
Karnataka,Bengaluru,11-07-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Veg Kheema,247,0,0
Karnataka,Bengaluru,07-07-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Veg Makkanvala,247,0,0
Karnataka,Bengaluru,10-06-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Channa Masala,195,4.7,1
Karnataka,Bengaluru,23-07-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Capsicum Masala,221,4.9,19
Karnataka,Bengaluru,27-02-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Baby Corn Masala,221,0,0
